Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Finaled 	BUS2017-01985	1ST CHOICE SOLAR CONSTRUCTION 	532 N MAGNOLIA AVE,  	GENERAL BUILDING, FLOORING AND FLOOR COVER, CERAMIC AND MOSAIC TILE CONTRACTOR 
Finaled 	BUS2017-01986	O K BEAUTY SALON 	879 S EUCLID ST, 92804 	BEAUTY SALON (OPERATOR) (3 EMPLOYEES)**need resale permit & edd #** 
Currently Renewing 	BUS2017-01987	AQX ENGINEERING INC 	1520 BROOKHOLLOW DR 45, 45574 	ENGINEERING SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-01988	ARTIGIANA 	316 SAN NICHOLAS CT, 43769 	COMMERCIAL & RESIDENTIAL DESIGNER (NO EMPLOYEES)  
Active 	BUS2017-01989	CLASSIC NAIL 	2143 E BALL RD, 92806 	NAIL SALON OPERATOR (6 EMPLOYEES) 
Currently Renewing 	BUS2017-01990	J R STEEL REINFORCING INC 	6533 E VIA ARBOLES, 92807 	Office use for Reinforcing Steel Contractor 
Active 	BUS2017-01991	HECTOR SERVICES 	1834 W GLEN AVE 2, 92801 	OFFICE USE FOR MAINTENANCE SERVICES *NO EMPLOYEES* 
Currently Renewing 	BUS2017-01992	REVIVE DESIGN CENTER 	1201 E BALL RD S, 92805 	RETAIL SALES OF FLOORING AND CABINETS  
Currently Renewing 	BUS2017-01993	EDGAR MURGUIA 	3563 CONEJO DR, 94231 	HANDYMAN SERVICES 
Active 	BUS2017-01994	STORM WATER INSPECTION & MAINTENANC 	31642 AVENIDO LOS CERRITOS, 42400 	Nonspecialized 
Currently Renewing 	BUS2017-01995	RIA FINANCIAL SERVICES 	1300 S EUCLID ST R, 92802 	MONEY SERVICES - MONEY TRANSMISSION, CHECK CASHING, MONEY ORDER (2 EMPLOYEES)  
Finaled 	BUS2017-01996	R N POOL SERVICE 	521 S BROOKHURST ST, 92801 	POOL MAINTENANCE SERVICE (NO EMPLOYEES) 
Currently Renewing 	BUS2017-01997	UP TO CODE PLUMBING 	23518 KATHRYN AVE, 35306 	Plumbing Contractor 
Currently Renewing 	BUS2017-01998	ROBERTO S HOLGUIN 	39393 RD 128,  	AIR CONDITIONING PERFORMANCE VERIFICATION *NOT A STATE LICENSE CONTRACTOR* 
Currently Renewing 	BUS2017-01999	ANAYA TRADING CO 	3455 E LA PALMA AVE 205, 92806 	WHOLESALE AND ONLINE RETAIL OF ELECTRONICS, ACCESSORIES 
Currently Renewing 	BUS2017-02000	BETANCOURT PAINTING CO 	1338 N FERNDALE ST, 92801 	OFFICE USE ONLY FOR PAINTING & HANDY MAN OFFSITE SERVICE (1 EMPLOYEE) 
Currently Renewing 	BUS2017-02001	MR MORTGAGE 	3855 E LA PALMA AVE 123, 92807 	LENDING SERVICE (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02002	PERFORMANCE GROUP 	3855 E LA PALMA AVE 123, 92807 	REAL ESTATE SALES (NO EMPLOYEES) 
Active 	BUS2017-02003	COASTAL DOOR SOLUTIONS 	27071 CABOT RD 127, 48370 	Doors, Gates and Activating Devices 
Active 	BUS2017-02004	TEPUY POWER LLC 	4220 E SUMMER CREEK LN, 92807 	OFFICE USE ONLY FOR DELIVERY OF MEDICINE 
Active 	BUS2017-02005	ASSOCIATED GROUP 	2420 EASTERN AVE, 37215 	LANDSCAPE CONTRACTOR/INSTALLATIONS 
Currently Renewing 	BUS2017-02006	IDEALIT2 LLC 	3812 E LA PALMA AVE, 92807 	SATELLITE TELECOMMUNICATIONS 
Active 	BUS2017-02007	SHEEDY DRAYAGE CO 	1215 MICHIGAN ST, 56211 	GENERAL ENGINEERING CONTRACTOR 
Finaled 	BUS2017-02008	DON R FORD A PROFESSIONAL LAW CORP 	8141 E KAISER BLVD 213, 92808 	LEGAL SERVICES 
Active 	BUS2017-02009	SIGNATURE FLOORING INC 	701 HARITON ST, 45498 	FLOORING CONTRACTOR 
Active 	BUS2017-02010	DESIGN BUILD SOLUTIONS & INNOVATION 	6950 W MORELOS PL,  	GENERAL BUILDING CONTRACTOR 
Finaled 	BUS2017-02011	CONTROL POWER SERVICES INC 	1884 E WOODLAWN ST, 49466 	ELECTRICAL CONTRACTOR 
Currently Renewing 	BUS2017-02012	TAJANN CORPORATION 	160 S OLD SPRINGS RD 100, 92808 	MANAGEMENT CONSULTING 
Active 	BUS2017-02013	OOOH LA LA AIRBRUSH TANNING ANAHEIM 	3151 W GLEN HOLLY DR, 92804 	OFFICE USE ONLY FOR AIRBRUSH TANNING SERVICES ***NO MORE THAN 6 PEOPLE A DAY*** 
Active 	BUS2017-02014	STANLEY CONVERGENT SECURITY SOLUTIO 	8350 SUNLIGHT DR, 96799 	BURGLAR AND FIRE ALARM SYSTEMS/CONTRACTOR 
Active 	BUS2017-02015	JUST ENERGY SOLUTIONS INC 	5251 WESTHEIMER RD STE 1000, 46349 	NATURAL GAS AND ELECTRICITY RETAILER 
Currently Renewing 	BUS2017-02016	THE CODE GROUP INC 	1845 W ORANGEWOOD AVE STE 210, 45498 	CONTRACT STAFFING, PLAN CHECKING AND SUSTAINABILITY SERVICES 
Currently Renewing 	BUS2017-02017	RAUL LAO 	19922 GRIDLEY RD, 09265 	DESIGN AND DRAFTING 
Currently Renewing 	BUS2017-02018	THE WEST AVENUE 	9100 WILSHIRE BLVD 210 W, 02718 	EVENT PROMOTER *ONE EMPLOYEE* 
Currently Renewing 	BUS2017-02019	NMC COMMERCIAL KITCHEN EQUIPMENT RE 	1240 S BERKLEY ST, 92804 	OFFICE USE FOR OFFSITE SERVING AND FIXING FOOD EQUIPMENT (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02020	RADIANT RADIOLOGY INC 	725 N SHEPARD ST, 92806 	MEDICAL OFFICE FOR MRI IMAGING SERVICES (ONE EMPLOYEE) 
Finaled 	BUS2017-02021	ZIA THREADING 	5753 E SANTA ANA CANYON RD D, 92807 	EYEBROW THREADING *2 EMPLOYEES* 
Currently Renewing 	BUS2017-02022	MISS PRINCESS SPA 	116 N TUSTIN AVE, 92807 	SALON OPERTOR *NO EMPLOYEES* 
Finaled 	BUS2017-02023	UTOPIA MASSAGE 	221 S MAGNOLIA AVE B, 92804 	MASSAGE ESTABLISHMENT OPERATOR: PHAM, BICH PHUONG T CMTC:66110 EXP:04/24/2019************MES2017-00008********************** 
Active 	BUS2017-02024	R X PLUS PHARMACY 	1425 E LINCOLN AVE B, 92805 	PHARMACY/DRUG STORE 
Finaled 	BUS2017-02025	ALL PRO BUILDING MAINTENANCE SERVIC 	21732 S VERMONT AVE 212, 35306 	Construction Cleanup 
Currently Renewing 	BUS2017-02026	LISA T WILSON 	2400 E KATELLA AVE 900, 92806 	PRIVATE PRACTICE PSYCHOLOGIST LMFT #49660 & LPCC #1505  
Active 	BUS2017-02027	MIKE CASSARA MASON RY INC DBA CASSARA MIKE MASONRY INC 	16891 HARKNESS CIR, 45363 	Masonry Contractor 
Active 	BUS2017-02028	KINSLO CONTRACT GLAZING 	640 S GRAND AVE STE 102, 45574 	GLAZING CONTRACTOR 
Active 	BUS2017-02029	WALLCOVERING DESIGNS INC 	925 TANKLAGE RD A, 55940 	General Building Contractor 
Active 	BUS2017-02030	BUILDERS DAILY SOLUTION INC 	3758 LOMINA AVE, 05496 	General Building Contractor  
Currently Renewing 	BUS2017-02031	SCENARIO COCKRAM USA INC 	605 8TH ST, 88983 	CONSULTING SERVICES IN THEME PARK INDUSTRY  
Currently Renewing 	BUS2017-02032	ADVANCED ROOFING SYSTEMS INC 	617 COUNTRY CLUB DR, 55266 	Roofing Contractor 
Currently Renewing 	BUS2017-02033	A K PRO CONSTRUCTION CORP 	1840 W 220TH ST 370, 35306 	General Building Contractor 
Currently Renewing 	BUS2017-02034	BRIDGENET INTERNATIONAL 	20201 SW BIRCH ST STE 250, 47234 	ACCOUSTICAL CONSULTING 
Finaled 	BUS2017-02035	INDUSTRY COATINGS 	10722 ARROW RTE STE 202, 49413 	COMMERCIAL PAINTING 
Finaled 	BUS2017-02036	TYLER COMMERCIAL CONSTRUCTION INC 	17802 MITCHELL NORTH, 47521 	GENERAL BUILDING CONTRACTOR 
Currently Renewing 	BUS2017-02037	SUNLUX ENERGY 	800 S ROCHESTER AVE B, 46274 	Electrical Contractor 
Currently Renewing 	BUS2017-02038	LAZURAN ELECTRIC & CONSTRUCTION INC 	316 N PARKER, 45498 	General Building Contractor 
Currently Renewing 	BUS2017-02039	SUDANESE AMERICAN ASSOCIATION INC 	423 S BROOKHURST ST H,I, 92804 	ADMINISTRATIVE OFFICE AND CULTURAL TUTORING FOR NO MORE THAN 10 PERSONS AT ONE TIME *NO EMPLOYEES* 
Currently Renewing 	BUS2017-02040	STR8 PACKING AND LABELING 	870 S ROSE PL, 92805 	WAREHOUSING, PACKAGING AND LABELING, AND DISTRIBUTION  
Active 	BUS2017-02041	P & R LATHING INC 	1818 S STATE COLLEGE BLVD 506, 92806 	OFFICE USE ONLY FOR LATHING AND PASTERING  
Active 	BUS2017-02042	IV MOBILE CAR WASH 	1616 S EUCLID ST 8,  	OFFICE USE ONLY FOR MOBILE CAR WASH SERVICES (NO EMPLOYEES) 
Active 	BUS2017-02043	EASTER SEALS SOUTHERN CALIFORNIA IN 	2390 E ORANGEWOOD AVE 400, 92806 	OFFICE USE FOR NON-PROFIT HEALTH AND HUMAN SERVICES 
Active 	BUS2017-02044	TRENDZ BEAUTY GROUP LLC 	1461 N DALY ST B, 92806 	WAREHOUSE WITH ACCESSORY OFFICE USE (5 EMPLOYEES) 
Currently Renewing 	BUS2017-02045	PEGGY OGILVIE 	128 W WATER ST, 92805 	OFFICE USE ONLY FOR ONLINE AND OFFSITE NUTRITIONAL AND AROMATHERAPY CONSULTING SERVICES (NO EMPLOYEES) (NO MASSAGE ALLOWED) 
Active 	BUS2017-02046	PEACE OF INSPIRATION 	128 W WATER ST, 92805 	OFFICE USE ONLY FOR ONLINE SALES OF BOOKS, DVD, AROMATHERAPY PRODUCTS SUCH AS INHALERS, LOTION, SKIN CARE, AND ESSENTIAL OILS 
Currently Renewing 	BUS2017-02047	ATHIVA SERVICES INC 	5932 BOLSA AVE, 45363 	General Building Contractor 
Currently Renewing 	BUS2017-02048	JIM MURRAY ROOFING INC 	814 W KATELLA AVE, 45498 	Roofing Contractor 
Finaled 	BUS2017-02049	STREET CHURROS INC 	3460 WILSHIRE BLVD 409, 33844 	FOOD TRUCK 
Currently Renewing 	BUS2017-02050	JOHN ANDREWS 	1571 S SUNKIST ST A,B, 92806 	WAREHOUSING, MANUFACTURING, MODEL BUILDING, MACHINE PROTOTYPING & TECHNICAL WRITING 
Currently Renewing 	BUS2017-02051	TIFFANY THIEN MINH 	203 S GILBERT ST, 92804 	OFFICE USE ONLY FOR SALES REPRESENTATIVE  
Currently Renewing 	BUS2017-02052	SUPREME SECURITY SERVICES INC 	3517 CAMEO DR 84, 97584 	SECURITY GUARD SERVICE 
Currently Renewing 	BUS2017-02053	LE CHAT BLANC CARTEMOLOGY 	1151 N EUCLID ST, 92801 	FORTUNE TELLING 
Finaled 	BUS2017-02054	GLOBAL EAGLES 	2225 W BROADWAY E214, 92804 	OFFICE USE ONLY FOR TRAVEL AGENT 
Finaled 	BUS2017-02055	BELLACRONY 	107 S NORMANDY CT, 92806 	OFFICE USE ONLY FOR DESIGN AND ONLINE SALES OF WALLETS 
Active 	BUS2017-02056	DANISH & DANYAL INVESTMENTS LLC  	1461 N DALY ST, 92806 	NON RESIDENTIAL PROPERTY OWNER (SQ FT 22793) 
Currently Renewing 	BUS2017-02057	PINNACLE DESIGN GROUP LLC 	3910 STANFORD DR, 97584 	DESIGN & PERMITTING TELECOMMUNICATIONS 
Currently Renewing 	BUS2017-02058	LPT ASSOCIATES INC 	7133 E DRAKE DR, 92807 	OFFICE USE ONLY FOR MOBILE CARDIOVASCULAR ULTRASOUND & MEDICAL BILLING SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02059	D-AIR CONDITIONING CO 	14092 BROOKHURST ST, 45301 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02060	A & M ORNAMENTAL IRON 	1611 RAILROAD ST, 97346 	Ornamental Metal 
Currently Renewing 	BUS2017-02061	SERENITY MD WEIGHT LOSS AND MEDICAL 	2198 E LINCOLN AVE, 92806 	MEDICAL OFFICE WITH EMPHASIS ON WEIGHT LOSS AND AESTHETIC SERVICES (3 EMPLOYEES) 
Active 	BUS2017-02062	P S SERVICES INC 	1320 N RED GUM ST, 92806 	ELECTRICAL CONTRACTOR/OFFICE, WAREHOUSE & WHOLESALE USE 
Finaled 	BUS2017-02063	MEDICAL SCIENCES LABORATORY IN 	1716 W MEDICAL CENTER DR, 92801 	MEDICAL BLOOD DRAW STATION *1 EMPLOYEE* 
Currently Renewing 	BUS2017-02064	ALL STAR SIGNS INC 	1924 W MISSION RD A, 02331 	Electrical Sign Contractor 
Active 	BUS2017-02065	PURPLE SKY DESIGNZ 	6512 E CAMINO VISTA 1, 92807 	OFFICE USE ONLY FOR ONLINE SALES OF HANDMADE MOSAIC JEWELRY 
Currently Renewing 	BUS2017-02066	RON LARA ROOFING 	2563 KURT AVE, 37215 	Roofing Contractor 
Currently Renewing 	BUS2017-02067	WESTERN A / V 	1592 N BATAVIA ST 2, 45498 	Low Voltage Systems 
Active 	BUS2017-02068	CASTLETON DEVELOPMENT AND MANAGEMEN 	3164 E LA PALMA AVE F, 92806 	OFFICE USE FOR GENERAL CONTRACTOR SERVICES 
Currently Renewing 	BUS2017-02069	AMPTEC 	22342 WYANDOTTE ST, 06032 	Electrical Contractor 
Currently Renewing 	BUS2017-02070	BODYCENTRE (SAMMONS) 	430 N LAKEVIEW AVE, 92807 	MASSAGE TECHNICIAN - SAMANTHA P SAMMONS CMTC#72566 EXP 01/19/2019 
Active 	BUS2017-02071	REQUIEM LLC 	280 S CLEMENTINE ST RETAIL SPACE, 92805 	COFFEE SHOP 
Currently Renewing 	BUS2017-02072	FLOW TECHNOLOGY PLUMBING INC 	7189 EL VIENTO WAY, 49945 	Plumbing Contractor 
Currently Renewing 	BUS2017-02073	JOY COIN LAUNDRY 	2976 W BALL RD, 92804 	LAUNDROMAT/57 MACHINES 
Currently Renewing 	BUS2017-02074	TIM FERN CONSTRUCTION 	6800 NEVADA CT, 49413 	General Building Contractor 
Finaled 	BUS2017-02075	CALSCAN MEDICAL ENTERPRISES INC 	1114 N ARMANDO ST, 92806 	REFURBISHING & WHOLESALE OF MRI/CTI TRAILERS & EQUIPMENT (4 EMPLOYEES) 
Finaled 	BUS2017-02077	C2C DESIGN GROUP INC 	15691 ROSE LN, 48938 	ARCHITECT & DESING FIRM 
Currently Renewing 	BUS2017-02076	C L T V T 	1920 ALVARADO ST, 97584 	General Building Contractor 
Currently Renewing 	BUS2017-02078	ANAHEIM PHOTO STUDIO 	2500 W LINCOLN AVE 12, 92804 	PHOTOGRAPHY STUDIO WITH ACCESSORY OFFICE (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02079	JOSE MELENDEZ 	12171 TAMERLANE DR C, 45301 	LANDSCAPING (NO EMPLOYEES)  
Finaled 	BUS2017-02080	AIR DYNE MECHANICAL 	11999 STEGMEIR DR, 49413 	Warm-Air Heating, Ventilating and Air Cond 
Currently Renewing 	BUS2017-02081	CRAFTSMEN CONSTRUCTION INC 	754 N ZEYN ST, 92806 	GENERAL CONTRACTOR 
Currently Renewing 	BUS2017-02082	TOWER INDUSTRIES INC 	1518 N ENDEAVOR LN C, 92801 	CORPORATE OFFICE / MANAGEMENT BUSINESS SERVICES (5 EMPLOYEES)  
Currently Renewing 	BUS2017-02083	BRENDA'S SWEET TREATS 	12941 JACKDAW ST, 42424 	SALES OF BAKED GOODS 
Currently Renewing 	BUS2017-02084	ORANGE COUNTY REEFER AND REFRIGERAT 	9712 W BIENVILLE AVE (Unincorporated), 92804 	TRANSPORTATION OF REFRIGERATORS & REFRIGERATOR REPAIR SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-02085	GOLDEN CARE TRANSPORTATION 	1811 W KATELLA AVE 139, 92804 	NON-EMERGENCY MEDICAL TRANSPORTATION SERVICES (10 EMPLOYEES)  
Active 	BUS2017-02086	AMPCO NORTH INC 	1630 S SUNKIST ST N, 92806 	GENERAL BUILDING CONTRACTOR 
Finaled 	BUS2017-02087	PIANO EXPRESS LLC 	1240 S ALLEC ST, 92805 	PIANO TRANSPORTATION & WAREHOUSE 
Currently Renewing 	BUS2017-02088	JONATHAN ALVAREZ 	805 1/2 S VAN NESS AVE, 45574 	General Building Contractor 
Active 	BUS2017-02089	1161 COSBY WAY LLC 	1161 N COSBY WAY, 92806 	NON-RESIDENTIAL PROPERTY OWNER 
Currently Renewing 	BUS2017-02090	LIGHT TOWER APPRAISAL 	1323 N FERNDALE ST, 92801 	OFFICE USE ONLY FOR OFF-SITE AUTO APPRAISALS (NO EMPLOYEES)  
Currently Renewing 	BUS2017-02091	EPIC SHEET METAL INC 	12523 LIMONITE AVE 440-397, 96815 	Sheet Metal Contractor 
Active 	BUS2017-02092	SUNKIST SMOG 	2525 E LINCOLN AVE, 92806 	SMOG TEST ONLY *NO EMPLOYEES* 
Currently Renewing 	BUS2017-02093	RONALD BANGSIL MD PC 	408 S BEACH BLVD 111, 92804 	MEDICAL OFFICE *NO EMPLOYEES* 
Active 	BUS2017-02094	HAPPY STEPS DAYCARE 	1817 W WESTMONT DR, 92801 	LARGE FAMILY DAYCARE (MAX 14 CHILDREN) (1 EMPLOYEE) (LFD2017-00002)  
Currently Renewing 	BUS2017-02095	E C CONSTRUCTION 	22799 BAYWOOD DR, 42424 	General Building Contractor 
Currently Renewing 	BUS2017-02096	DINHO STONE 	3914 E CORONADO ST, 92807 	WHOLESALE / INSTALLATION OF MARBLE AND GRANITE 
Active 	BUS2017-02097	DYNAMIC INFUSION CARE LLC 	2400 E KATELLA AVE 800, 92806 	STAFFING AGENCY (3 EMPLOYEES) 
Currently Renewing 	BUS2017-02098	CHILD SEARCH & RESCUE INC 	625 S EUCLID ST 5, 92804 	NON-PROFIT ORGANIZATION  
Active 	BUS2017-02099	ALL STATE ENGINEERING & SURVEYING 	23675 BIRTCHER DR, 99516 	ENGINEERING FIRM 
Active 	BUS2017-02100	MERIDOX MORTGAGE 	8175 E KAISER BLVD, 92808 	REAL ESTATE MORTGAGE SERVICES 
Currently Renewing 	BUS2017-02101	ACE PRODUCTS 	1160 N COSBY WAY, 92807 	WHOLESALE OF PROMOTIONAL PRODUCTS 
Currently Renewing 	BUS2017-02102	S G HOLDINGS GROUP LLC  	2607 W LINCOLN AVE, 92801 	NON - RESIDENTIAL BUILDING OPERATOR  
Currently Renewing 	BUS2017-02103	P D C INTERIORS 	3811 E LA PALMA AVE, 92807 	GENERAL BUILDING & FLOORING CONTRACTOR 
Finaled 	BUS2017-02104	GLITTER IT UP 	1345 N RED GUM ST 4, 92806 	WHOLESALE & ONLINE RETAIL SALES OF RHINESTONE APPAREL 
Currently Renewing 	BUS2017-02105	ERA LIFE HOME HEALTH INC 	1440 S STATE COLLEGE BLVD 3E, 92806 	OFFICE USE FOR STORAGE/WAREHOUSING OF MEDICAL EQUIPMENT 
Active 	BUS2017-02106	REDLINE CAR STEREO & WINDOW TINT 	3180 W LINCOLN AVE C, 92804 	RETAIL SALES OF AUTOMATIVE PARTS AND ACCESSORIES  
Finaled 	BUS2017-02107	O K BEAUTY SALON 	879 S EUCLID ST, 92804 	BEAUTY SALON (OPERATOR) cancelled error see BUS2017-01986 
Finaled 	BUS2017-02108	NIHILITUS LLC 	2421 W BROADWAY, 92804 	OFFICE USE ONLY FOR ONLINE SALES, RECORDING AND BAND ADMINISTRATIVE USE 
Currently Renewing 	BUS2017-02109	NEW OPTIONS BUSINESS SERVICES LLC 	5558 E LA PALMA AVE, 92807 	MANAGEMENT CONSULTING *NO EMPLOYEES* 
Currently Renewing 	BUS2017-02110	SCHMID DEVELOPMENT INC 	1743 S DOUGLASS RD C, 92806 	GENERAL CONTRACTOR 
Active 	BUS2017-02111	CELL - CRETE FIREPROOFING OF NEVADA 	135 E RAILROAD AVE, 83592 	Concrete Contractor 
Finaled 	BUS2017-02112	CROSSPOINTE MECHANICAL SERVICE 	17832 CARRANZA LANE, 45363 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-02113	CONNIE NGUYEN 	10166 ANDY REESE CT, 45301 	VACATION RENTAL PROPERTY MANAGEMENT SERVICES 
Finaled 	BUS2017-02114	GILDAN ACTIVEWEAR EDEN INC 	1501 E CERRITOS AVE, 92805 	APPAREL DISTRIBUTION 
Active 	BUS2017-02115	X D INDUSTRIES INC 	1572 N BATAVIA ST 1D, 45498 	ARCHITECTURAL, ENGINEERING & REAL ESTATE SERVICES (1 EMPLOYEE) (NOT STATE LICENSED) ********ANAHEIM MAILING PO BOX********* 
Finaled 	BUS2017-02116	TOMII MASSAGE (LIU, HUITING) 	1661 W BROADWAY 8, 92802 	CERTIFIED MASSAGE THERAPIST (LIU, HUITING) CAMTC LIC# 68771 EXP: 11/20/2017 
Active 	BUS2017-02117	SOGNARE TILE & STONE 	1440 S STATE COLLEGE BLVD 1B,1C, 92806 	WAREHOUSE / WHOLESALE OF TILE AND STONE 
Currently Renewing 	BUS2017-02118	R J CONSTRUCTION 	6102 E PASEO RIO VERDE, 92807 	GENERAL BUILDING CONTRACTOR 
Finaled 	BUS2017-02119	ASIAN HEALTH MASSAGE (PAN, GUIGUI) 	215 N STATE COLLEGE BLVD K, 92805 	INDEPENDENT CERTIFIED MASSAGE THERAPIST (PAN, GUIGUI) CMTC# 41121 EXP: 03/23/2019 
Currently Renewing 	BUS2017-02120	COASTAL POOL DESIGNS 	2812 CAMINO CAPISTRANO B, 49951 	Swimming Pool Contractor 
Currently Renewing 	BUS2017-02121	GREAT AMERICAN MINT PARTNERS LLC 	1020 N ARMANDO ST, 92806 	PRECIOUS METALS REFINING AND MINTING MANUFACTURING / WHOLESALE 
Currently Renewing 	BUS2017-02122	TZION SIGRON 	4414 LEMPE AVE, 87822 	Electrical Contractor 
